company,lat,lon
KT,37.744168,128.905561
KT,37.7280569,128.9543072
KT,37.757104,128.8900263
KT,37.7476891,128.8839753
KT,37.7486593,128.9073099
KT,37.7428091,128.8827447
KT,37.7537203,128.8990209
KT,37.7426855,128.8828061
KT,37.7733662,128.9133477
KT,37.7733662,128.9133477
KT,37.7520088,128.8762856
KT,37.7519739,128.8758298
KT,37.7721276,128.8936273
KT,37.7527634,128.8924595
KT,37.7952175,128.8175785
KT,37.68741394,129.0377671
KT,37.6522739,128.7845049
KT,37.783818,128.8807243
KT,37.7655928,128.8741928
KT,37.7678829,128.8923665
KT,37.7184134,128.8800907
KT,37.7389627,128.8810138
KT,37.885793,128.826477
KT,37.8236344,128.848799
KT,37.7632095,128.918906
KT,37.7187703,128.8324714
KT,37.7746496,128.927528
KT,37.8601329,128.836803
KT,37.7795219,128.8773412
KT,37.6125748,129.03803
KT,37.7601293,128.9033218
KT,37.6727356,128.8379183
KT,37.78965674,128.9076676
KT,37.8910001,128.8277793
KT,37.8921367,128.827221
KT,37.7560046,128.8940879
KT,37.754033,128.898612
KT,37.7923423,128.9155776
KT,37.768105,128.908339
KT,37.7726769,128.9133642
KT,37.7486012,128.8834243
KT,38.3774696,128.4721184
KT,38.3809637,128.4658354
KT,38.378929,128.500933
KT,38.3806311,128.4678928
KT,38.2588354,128.5564396
KT,37.5910747,129.0897453
KT,37.5150562,129.105179
KT,37.5247499,129.1145654
KT,37.5233728,129.1155894
KT,37.517351,129.110044
KT,37.517351,129.110044
KT,37.517351,129.110044
KT,37.23240253,129.0496714
KT,37.44794258,129.1646305
KT,37.3792457,129.2257901
KT,37.4425272,129.1684733
KT,37.2361716,129.0450665
KT,37.2320805,129.0449588
KT,37.4175501,129.1127492
KT,37.44556826,129.1714858
KT,37.4439236,129.1722004
KT,37.43743977,129.1525423
KT,37.4497219,129.1653346
KT,37.44982367,129.1652135
KT,37.438965,129.157517
KT,37.4490782,129.1778038
KT,37.4436567,129.164297
KT,37.4421157,129.1652459
KT,37.44615192,129.1628479
KT,37.34952811,129.0830812
KT,37.1764465,129.3357895
KT,37.17698197,129.3349283
KT,37.14345661,129.2866696
KT,37.43605524,129.1845867
KT,37.3493543,128.9427976
KT,38.2068759,128.5882478
KT,38.2126537,128.5957703
KT,38.1669375,128.5162109
KT,38.19251,128.578842
KT,38.2044718,128.590225
KT,38.2026647,128.5804947
KT,38.206823,128.5919555
KT,38.2076094,128.591894
KT,38.2129858,128.59779
KT,38.2236303,128.5882673
KT,38.207367,127.951534
KT,38.207353,127.951526
KT,38.1083348,127.9845342
KT,38.1088744,127.9842625
KT,38.1077584,127.989419
KT,38.1083648,127.9905081
KT,38.1499628,128.607657
KT,38.1049532,128.6017806
KT,38.0711654,128.5851307
KT,38.0764206,128.6205314
KT,38.0754039,128.6337585
KT,38.0775961,128.4510038
KT,38.0754566,128.6191292
KT,38.077831,128.6274536
KT,37.9690383,128.7596204
KT,37.1255927,128.5700067
KT,37.1864758,128.4045603
KT,37.1793127,128.4767693
KT,37.182112,128.4613888
KT,37.2545912,128.4552234
KT,37.1270739,128.8270387
KT,37.2881724,128.2683882
KT,37.177437,128.461418
KT,37.1842462,128.463315
KT,37.1823665,128.4576854
KT,37.183766,128.46187
KT,37.1854047,128.4666322
KT,37.1864886,128.465108
KT,37.1864886,128.465108
KT,37.1865308,128.4651096
KT,37.1826074,128.4672586
KT,37.2720263,128.2691561
KT,37.1451007,128.6803989
KT,37.2366853,128.3281439
KT,37.3515535,127.9467817
KT,37.3320559,127.9484699
KT,37.30472258,127.8141129
KT,37.3060184,127.8154809
KT,37.3419293,127.9347253
KT,37.3396617,127.9347566
KT,37.3386605,127.8982721
KT,38.069738,128.1716036
KT,37.21990909,128.8341217
KT,37.21086892,128.8363493
KT,37.2086819,128.8431808
KT,37.51897005,128.7375852
KT,37.2669489,128.7424758
KT,37.2688398,128.7404938
KT,37.24512545,128.7744513
KT,37.44836365,128.6704427
KT,37.44836365,128.6704427
KT,37.227338,128.81688
KT,37.2277,128.821777
KT,37.228577,128.819432
KT,37.23059678,128.6450782
KT,37.21802985,128.6713646
KT,37.2120689,128.642239
KT,37.47198208,128.7218835
KT,37.47064135,128.7206591
KT,37.4706715,128.7207276
KT,37.49469323,128.852075
KT,37.49673483,128.8514877
KT,37.4952504,128.8520933
KT,37.49592893,128.8527839
KT,37.38039283,128.6652169
KT,37.47244246,128.7226853
KT,37.39341807,128.6439967
KT,37.3800354,128.6714437
KT,37.18846351,128.8673095
KT,37.3822605,128.6734374
KT,37.18846351,128.8673095
KT,37.380306,128.6608247
KT,37.38071351,128.6606087
KT,37.380306,128.6608247
KT,37.38071351,128.6606087
KT,37.37412714,128.6710117
KT,37.3781624,128.6617032
KT,37.37888954,128.6503492
KT,37.381457,128.661048
KT,37.3796349,128.6616904
KT,37.380748,128.665412
KT,37.21802985,128.6713646
KT,37.24496915,128.77406
KT,37.350818,128.790319
KT,37.3389628,128.7887439
KT,37.3402178,128.7879279
KT,37.19953738,128.856784
KT,38.21298,127.214504
KT,38.1458202,127.3106042
KT,37.885773,127.730069
KT,37.8614277,127.7577658
KT,38.141033,128.071118
KT,38.145503,128.071673
KT,38.14221,128.071133
KT,37.9959653,127.8780092
KT,37.870188,127.723659
KT,37.94877972,127.7498794
KT,37.8892657,127.7439349
KT,37.8493829,127.7434354
KT,37.8699654,127.7107644
KT,37.881129,127.736475
KT,37.8427784,127.7148641
KT,37.9470979,127.7501331
KT,37.92136059,127.7202496
KT,37.8645076,127.7262162
KT,37.8721574,127.727457
KT,37.208618,128.946048
KT,37.158805,128.989332
KT,37.170584,128.992368
KT,37.181269,128.970342
KT,37.118765,129.0399611
KT,37.37804804,128.395304
KT,37.673541,128.7058005
KT,37.67410643,128.703972
KT,37.50095191,128.4579107
KT,37.50146293,128.4576764
KT,37.50024996,128.4528763
KT,37.50071386,128.4547126
KT,37.3421501,128.4959082
KT,37.34089029,128.4997389
KT,37.4264437,128.3941893
KT,37.42623146,128.3928088
KT,37.50094658,128.4580508
KT,37.61700766,128.3794713
KT,37.61557627,128.3776826
KT,37.37980323,128.3873297
KT,37.60664496,128.4402675
KT,37.58982,128.416613
KT,37.5898359,128.4163727
KT,37.5860764,128.4142447
KT,37.36187716,128.3907605
KT,37.63612,128.5578596
KT,37.63560206,128.5539889
KT,37.63632844,128.5584765
KT,37.63703856,128.5581878
KT,37.36016941,128.391334
KT,37.36016941,128.391334
KT,37.61043564,128.463434
KT,37.60543416,128.4529044
KT,37.368781,128.3949368
KT,37.36876,128.394881
KT,37.36070137,128.3890006
KT,37.360515,128.389025
KT,37.36899745,128.3978637
KT,37.37066764,128.39039
KT,37.3707604,128.3904012
KT,37.36820231,128.3904167
KT,37.36640775,128.3931604
KT,37.3667928,128.3946129
KT,37.3687993,128.3959694
KT,37.368886,128.397186
KT,37.6731135,128.704856
KT,37.696715,127.888121
KT,37.6883813,128.1909754
KT,37.8209324,128.0578378
KT,37.6921532,127.8920962
KT,37.6967656,127.8888063
KT,37.6890551,127.8863025
KT,38.106027,127.70812
KT,38.103794,127.707356
KT,37.5122652,128.2186509
KT,37.4862741,127.8503131
KT,37.4124815,128.1562013
KT,37.5370482,128.2916336
KT,37.537156,128.288484
KT,37.4917115,127.9849341
KT,37.82559535,127.5163314
KT,37.83344764,127.5106291
KT,37.82514577,127.5161283
KT,37.88570522,127.5499759
KT,37.78763826,127.3391577
KT,37.67597068,127.4946304
KT,37.74031127,127.4241408
KT,37.8178183,127.3533151
KT,37.66990003,127.4846247
KT,37.81825546,127.3529492
KT,37.64845585,126.8363742
KT,37.64878692,126.8847452
KT,37.66701005,126.8864807
KT,37.65618964,126.8388186
KT,37.62189174,126.8291149
KT,37.63035126,126.8375195
KT,37.65314905,126.8938994
KT,37.61737527,126.8362293
KT,37.65162613,126.8329631
KT,37.59950149,126.8727997
KT,37.7088445,126.9029391
KT,37.6230228,126.8194809
KT,37.63713738,126.8322976
KT,37.6595718,126.9342995
KT,37.6790683,126.9610922
KT,37.59747544,126.8197449
KT,37.65463602,126.8412335
KT,37.656251,126.837298
KT,37.656251,126.837298
KT,37.656251,126.837298
KT,37.656251,126.837298
KT,37.656251,126.837298
KT,37.63365571,126.8321151
KT,37.664429,126.760436
KT,37.67610022,126.8159275
KT,37.67044588,126.7963142
KT,37.65640045,126.775913
KT,37.6719761,126.7793415
KT,37.685657,126.771013
KT,37.67454402,126.7480596
KT,37.67465501,126.7562887
KT,37.6844719,126.7687408
KT,37.70320099,126.7649087
KT,37.70320099,126.7649087
KT,37.685657,126.771013
KT,37.685657,126.771013
KT,37.685657,126.771013
KT,37.685657,126.771013
KT,37.685657,126.771013
